Brand,Model_SubModel,Year,GearType,Price
AUDI,TTS 2.0 Coupe TFSI Quattro (MY15),2016,AUTO,"3,000,000"
AUDI,TTS 2.0 Coupe TFSI Quattro (MY15),2017,AUTO,"3,100,000"
AUDI,TT 2.0 Coupe 45 TFSI Quattro S line (MY17),2017,AUTO,"2,100,000"
AUDI,TT 2.0 Coupe 45 TFSI Quattro S line (MY17),2018,AUTO,"2,150,000"
AUDI,TT 2.0 Coupe 45 TFSI Quattro S line (MY17),2019,AUTO,"2,200,000"
AUDI,TTS 2.0 Coupe Quattro (MY17),2017,AUTO,"2,800,000"
AUDI,TTS 2.0 Coupe Quattro (MY17),2018,AUTO,"2,900,000"
AUDI,TT 2.0 Coupe 45 TFSI Quattro S line (MY17) (MNC),2019,AUTO,"2,200,000"
AUDI,TT 2.0 Coupe 45 TFSI Quattro S line (MY17) (MNC),2020,AUTO,"2,250,000"
AUDI,TT 2.0 Coupe 45 TFSI Quattro S line (MY17) (MNC),2021,AUTO,"2,300,000"
AUDI,TTS 2.0 Coupe Quattro (MY17) (MNC),2019,AUTO,"3,200,000"
AUDI,TTS 2.0 Coupe Quattro (MY17) (MNC),2020,AUTO,"3,300,000"
AUDI,TT 2.0 Coupe 45 TFSI Quattro S line (MY21),2021,AUTO,"2,600,000"
AUDI,TT 2.0 Coupe 45 TFSI Quattro S line (MY21),2022,AUTO,"2,700,000"
AUDI,TT 2.0 Roadster 45 TFSI Quattro S line,2019,AUTO,"2,600,000"
AUDI,TT 2.0 Roadster 45 TFSI Quattro S line,2020,AUTO,"2,700,000"
AUDI,TT 2.0 Roadster 45 TFSI Quattro S line,2021,AUTO,"2,800,000"
AUDI,TT 2.0 Roadster 45 TFSI Quattro-TT 20 years,2019,AUTO,"3,000,000"
AUDI,TT 2.0 Roadster 45 TFSI Quattro S line (MY21),2021,AUTO,"2,900,000"
AUDI,TT 2.0 Roadster 45 TFSI Quattro S line (MY21),2022,AUTO,"3,000,000"
AUDI,TT RS 2.5 Coupe Quattro (CBU),2020,AUTO,"4,000,000"
AUDI,TT RS 2.5 Coupe Quattro (CBU),2021,AUTO,"4,100,000"
AUDI,TT RS 2.5 Coupe Quattro (CBU),2022,AUTO,"4,200,000"
AUDI,Q2 1.4 35 TFSI (MY17),2017,AUTO,"1,280,000"
AUDI,Q2 1.4 35 TFSI (MY17),2018,AUTO,"1,340,000"
AUDI,Q2 1.4 35 TFSI (MY17),2019,AUTO,"1,400,000"
AUDI,Q2 1.4 35 TFSI (MY17),2020,AUTO,"1,460,000"
AUDI,Q2 1.4 35 TFSI (MY17),2021,AUTO,"1,520,000"
AUDI,Q2 1.4 35 TFSI (MY21),2021,AUTO,"1,600,000"
AUDI,Q2 1.4 35 TFSI (MY21),2022,AUTO,"1,700,000"
AUDI,Q3 2.0 TFSI Quattro (MY16),2016,AUTO,"1,440,000"
AUDI,Q3 2.0 TFSI Quattro (MY16),2017,AUTO,"1,520,000"
AUDI,Q3 2.0 TDI Quattro (MY16),2016,AUTO,"1,540,000"
AUDI,Q3 2.0 TDI Quattro (MY16),2017,AUTO,"1,620,000"
AUDI,Q3 2.0 35 TFSI Quattro (MY17),2017,AUTO,"1,540,000"
AUDI,Q3 2.0 35 TFSI Quattro (MY17),2018,AUTO,"1,600,000"
AUDI,Q3 2.0 35 TFSI Quattro (MY17),2019,AUTO,"1,660,000"
AUDI,Q3 1.4 35 TFSI (MY19),2019,AUTO,"1,480,000"
AUDI,Q3 1.4 35 TFSI (MY19),2020,AUTO,"1,540,000"
AUDI,Q3 1.4 35 TFSI (MY19),2021,AUTO,"1,600,000"
AUDI,Q3 1.4 35 TFSI S line (MY19),2019,AUTO,"1,640,000"
AUDI,Q3 1.4 35 TFSI S line (MY19),2020,AUTO,"1,700,000"
AUDI,Q3 1.4 35 TFSI S line (MY19),2021,AUTO,"1,760,000"
AUDI,Q3 1.4 35 TFSI S line (MY19),2022,AUTO,"1,820,000"
AUDI,Q3 1.4 35 TFSI Sportback S line (MY19),2019,AUTO,"1,740,000"
AUDI,Q3 1.4 35 TFSI Sportback S line (MY19),2020,AUTO,"1,800,000"
AUDI,Q3 1.4 35 TFSI Sportback S line (MY19),2021,AUTO,"1,860,000"
AUDI,Q3 1.4 35 TFSI Sportback S line (MY19),2022,AUTO,"1,920,000"
AUDI,Q3 2.0 40 TFSI Quattro S Line Black Edition (CBU),2021,AUTO,"2,000,000"
AUDI,Q3 2.0 40 TFSI Quattro S Line Black Edition (CBU),2022,AUTO,"2,100,000"
AUDI,Q3 2.0 40 TFSI Quattro Sportback S Line Black Edition (CBU),2021,AUTO,"2,200,000"
AUDI,Q3 2.0 40 TFSI Quattro Sportback S Line Black Edition (CBU),2022,AUTO,"2,300,000"
AUDI,Q5 2.0 35 TDI Quattro (MY17),2017,AUTO,"2,100,000"
AUDI,Q5 2.0 35 TDI Quattro (MY17),2018,AUTO,"2,200,000"
AUDI,Q5 2.0 35 TDI Quattro (MY17),2019,AUTO,"2,300,000"
AUDI,Q5 2.0 45 TFSI Quattro S line (MY17),2017,AUTO,"2,300,000"
AUDI,Q5 2.0 45 TFSI Quattro S line (MY17),2018,AUTO,"2,400,000"
AUDI,Q5 2.0 45 TFSI Quattro S line (MY17),2019,AUTO,"2,500,000"
AUDI,Q5 2.0 45 TFSI Quattro S line (MY17),2020,AUTO,"2,600,000"
AUDI,Q5 2.0 45 TFSI Quattro S line Black Edition (MY17) (MNC),2021,AUTO,"3,000,000"
AUDI,Q5 2.0 45 TFSI Quattro S line Black Edition (MY17) (MNC),2022,AUTO,"3,100,000"
AUDI,Q7 3.0 TDI Quattro (MY16),2016,AUTO,"2,700,000"
AUDI,Q7 3.0 TDI Quattro (MY16),2017,AUTO,"2,800,000"
AUDI,Q7 2.0 40 TFSI Quattro (MY17),2017,AUTO,"2,500,000"
